Id,Name
0MI5f0000004MO3GAM,Acre
0MI5f0000004MNYGA2,"North Africa"
0MI5f0000004MNDGA2,*AMER
0MI5f0000004MNTGA2,"AMER Overlay"
0MI5f0000004MNKGA2,ANZ
0MI5f0000004MNRGA2,Argentina
0MI5f0000004MNiGAM,ASEAN
0MI5f0000004MNzGAM,Austria
0MI5f0000004MNqGAM,Bangalore
0MI5f0000004MNSGA2,Benelux
0MI5f0000004MNMGA2,Brazil
0MI5f0000004MNGGA2,Canada
0MI5f0000004MN7GAM,Central
0MI5f0000004MNQGA2,"Central America"
0MI5f0000004MNfGAM,"China 大中华区"
0MI5f0000004MNUGA2,DACH
0MI5f0000004MN8GAM,East
0MI5f0000004MNbGAM,"Eastern Europe"
0MI5f0000004MNLGA2,"East Canada"
0MI5f0000004MNFGA2,EMEA
0MI5f0000004MNwGAM,"EMEA Overlay"
0MI5f0000004MNAGA2,"Financial Services"
0MI5f0000004MNVGA2,France
0MI5f0000004MNyGAM,Germany
0MI5f0000004MNBGA2,Healthcare
0MI5f0000004MNmGAM,Hyderabad
0MI5f0000004MNgGAM,India
0MI5f0000004MNlGAM,Indonesia
0MI5f0000004MNXGA2,Ireland
0MI5f0000004MNEGA2,JAPAC
0MI5f0000004MNhGAM,"Japan 日本"
0MI5f0000004MNxGAM,"JPAC Overlay"
0MI5f0000004MNrGAM,Kolkata
0MI5f0000004MNPGA2,Korea
0MI5f0000004MNHGA2,"Latin America"
0MI5f0000004MNnGAM,Malaysia
0MI5f0000004MNOGA2,Mexico
0MI5f0000004MNcGAM,"Middle East"
0MI5f0000004MNsGAM,Mumbai
0MI5f0000004MNtGAM,"New Delhi"
0MI5f0000004MNNGA2,"New South Wales"
0MI5f0000004MNjGAM,"New Zealand"
0MI5f0000004MNvGAM,Overlays
0MI5f0000004MO1GAM,Paris
0MI5f0000004MNIGA2,Quebec
0MI5f0000004MNkGAM,"Queensland + NT"
0MI5f0000004MNoGAM,Singapore
0MI5f0000004MNaGAM,"South Africa"
0MI5f0000004MO2GAM,"south france"
0MI5f0000004MNdGAM,Spain
0MI5f0000004MNCGA2,"Strategic Accounts"
0MI5f0000004MO0GAM,Switzerland
0MI5f0000004MNpGAM,Thailand
0MI5f0000004MNuGAM,"Tokyo - 東京都"
0MI5f0000004MNWGA2,UK
0MI5f0000004MN9GAM,"*United States"
0MI5f0000004MNeGAM,"Victoria + South Aus"
0MI5f0000004MNZGA2,Vietnam
0MI5f0000004MN6GAM,West
0MI5f0000004MNJGA2,"West Canada"
